Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
42	388.33334	80.599144	500.0	284.0	500.0	0.0	500.0	500.0	388.33334	500.0	83999	42.98742	11.538824	52.016228	-6.1900516	42.987362	11.537775	51.82485	-6.9419403	-0.30060723	0.71576655	4.887633	-7.120801	-43.275383	2.312414	545.5143663883209
43	387.0	98.56774	500.0	258.0	400.3	82.36146	500.0	308.0	387.0	400.3	85999	42.95889	11.601951	52.309593	-5.7911177	42.958996	11.600445	52.008198	-6.328899	-0.31827182	0.702791	4.8568234	-8.020601	-43.238594	2.3765075	556.9496273994446
44	356.6	117.44547	500.0	247.0	500.0	0.0	500.0	500.0	356.6	500.0	87999	43.17297	11.471515	51.907555	-7.5881057	43.173065	11.470872	51.857674	-8.968674	-0.30656654	0.7133315	5.3206472	-7.321433	-43.448338	2.471479	568.4883887767792
45	416.2	113.197876	500.0	215.0	500.0	0.0	500.0	500.0	416.2	500.0	89999	43.17519	11.454019	52.050587	-7.432766	43.175163	11.454242	52.14604	-7.6962237	-0.3115133	0.6981107	5.306526	-7.6711817	-43.436844	2.7443466	580.0340266227722
46	500.0	0.0	500.0	500.0	471.8	56.797535	500.0	344.0	500.0	471.8	91999	43.332005	11.329726	51.969852	-8.98631	43.332184	11.328841	51.87803	-9.295872	-0.31786215	0.7060262	3.7632668	-8.915434	-43.600525	2.6483788	591.6862933635712
47	424.0	94.2104	500.0	287.0	500.0	0.0	500.0	500.0	424.0	500.0	93999	43.4392	11.249592	52.20279	-8.784698	43.439137	11.248874	52.175777	-8.9183445	-0.3379558	0.6951261	5.121622	-7.2811594	-43.68399	2.958918	603.5508573055267
48	418.0	119.36331	500.0	193.0	467.0	66.12261	500.0	326.0	418.0	467.0	95999	43.49032	11.198295	51.789463	-7.5431566	43.49035	11.197214	51.887383	-7.358393	-0.33773366	0.6885101	4.832714	-7.6843166	-43.725895	2.270097	616.8482217788696
49	324.0	133.76596	500.0	156.0	500.0	0.0	500.0	500.0	324.0	500.0	97999	43.47309	11.220055	52.059143	-7.5137663	43.473213	11.219854	52.0247	-7.7232966	-0.3443002	0.69007313	4.84176	-7.005127	-43.7176	3.4569905	630.3315420150757
50	410.0	110.24336	500.0	272.0	500.0	0.0	500.0	500.0	410.0	500.0	99999	43.461098	11.243951	51.754044	-6.324444	43.4612	11.242274	51.689972	-7.564363	-0.33091125	0.69933325	5.101322	-8.287086	-43.709118	2.6311603	642.9623582363129
51	399.8	128.54634	500.0	189.0	500.0	0.0	500.0	500.0	399.8	500.0	101999	43.569782	11.085687	51.89626	-8.693697	43.569717	11.085682	51.928856	-8.161675	-0.3503712	0.68513834	5.25905	-7.976073	-43.798634	3.2613175	656.2662878036499
52	402.5	65.88816	468.0	319.0	500.0	0.0	500.0	500.0	402.5	500.0	103999	43.572582	11.02698	51.61324	-6.043146	43.57265	11.025553	51.87963	-6.960797	-0.3568773	0.6691488	4.8736615	-8.1390705	-43.802418	2.987223	670.1188719272614
53	500.0	0.0	500.0	500.0	500.0	0.0	500.0	500.0	500.0	500.0	105999	43.67069	10.986792	51.89824	-7.0235753	43.670692	10.985909	51.84903	-6.946787	-0.3262846	0.69927335	7.050776	-7.7692003	-43.898296	3.3550959	683.5547144412994
54	486.6	26.8	500.0	433.0	500.0	0.0	500.0	500.0	486.6	500.0	107999	43.75129	10.945033	52.020084	-7.4940405	43.75149	10.9439745	52.00328	-8.273728	-0.3560373	0.67685264	5.230227	-10.099186	-43.969868	3.2940838	696.8348722457886
